Skyline_filename,MassiveID,filename,SampleType,SampleTypeSub1,NCBITaxonomy,YearOfAnalysis,SampleCollectionMethod,SampleExtractionMethod,InternalStandardsUsed,MassSpectrometer,IonizationSourceAndPolarity,ChromatographyAndPhase,SubjectIdentifierAsRecorded,AgeInYears,BiologicalSex,UBERONBodyPartName,TermsofPosition,HealthStatus,DOIDCommonName,ComorbidityListDOIDIndex,SampleCollectionDateandTime,Country,HumanPopulationDensity,LatitudeandLongitude,DepthorAltitudeMeters,qiita_sample_name,UniqueSubjectID,LifeStage,UBERONOntologyIndex,DOIDOntologyIndex,ATTRIBUTE_HMP_ID,ATTRIBUTE_HMP_Strain,ATTRIBUTE_NCBI ID,ATTRIBUTE_Domain,ATTRIBUTE_SuperPhyla,ATTRIBUTE_Phylum,ATTRIBUTE_Class,ATTRIBUTE_Order,ATTRIBUTE_Family,ATTRIBUTE_Genus,ATTRIBUTE_Species,ATTRIBUTE_Subspecies,ATTRIBUTE_Source,ATTRIBUTE_Source_health_status,ATTRIBUTE_Media_type,ATTRIBUTE_Sample _type
HMP_FCM_P1_C8.d,MSV000084475,HM_10_BC8_01_45754.mzXML,culture_bacterial,culture_bacterial,not specified,2019,liquid,methanol-water (4:1),sulfadimethoxine,impact HD|MS:1002667,electrospray ionization (positive),reverse phase (polar-C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,9/1/19,United States of America,Urban,32.876878|-117.234459,200,not applicable,MSV000084475_not applicable,not applicable,not applicable,not applicable,HM_10,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,FCM,culture_bacterial
HMP_FCM_P1_D4.d,MSV000084475,HM_1036_BD4_01_45766.mzXML,culture_bacterial,culture_bacterial,1073351|Bacteroides stercoris CC31F,2019,liquid,methanol-water (4:1),sulfadimethoxine,impact HD|MS:1002667,electrospray ionization (positive),reverse phase (polar-C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,9/1/19,United States of America,Urban,32.876878|-117.234459,200,not applicable,MSV000084475_not applicable,not applicable,not applicable,not applicable,HM_1036,Bacteroides stercoris CC31F,1073351,Bacteria,FCB group,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides stercoris,not applicable,gastrointestinal_tissue,unspecified,FCM,culture_bacterial
HMP_FCM_P1_E11.d,MSV000084475,HM_1040_BE11_01_45791.mzXML,culture_bacterial,culture_bacterial,1073356|Clostridium cadaveris CC44_001G,2019,liquid,methanol-water (4:1),sulfadimethoxine,impact HD|MS:1002667,electrospray ionization (positive),reverse phase (polar-C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,9/1/19,United States of America,Urban,32.876878|-117.234459,200,not applicable,MSV000084475_not applicable,not applicable,not applicable,not applicable,HM_1040,Clostridium cadaveris CC44_001G,1073356,Bacteria,Terrabacteria group,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium cadaveris,not applicable,gastrointestinal_tissue,unspecified,FCM,culture_bacterial
HMP_FCM_P1_E12.d,MSV000084475,HM_1041_BE12_01_45792.mzXML,culture_bacterial,culture_bacterial,1073357|Clostridium cadaveris CC88A,2019,liquid,methanol-water (4:1),sulfadimethoxine,impact HD|MS:1002667,electrospray ionization (positive),reverse phase (polar-C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,9/1/19,United States of America,Urban,32.876878|-117.234459,200,not applicable,MSV000084475_not applicable,not applicable,not applicable,not applicable,HM_1041,Clostridium cadaveris CC88A,1073357,Bacteria,Terrabacteria group,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium cadaveris,not applicable,gastrointestinal_tissue,unspecified,FCM,culture_bacterial
HMP_FCM_P1_A6.d,MSV000084475,HM_1050_BA6_01_45718.mzXML,culture_bacterial,culture_bacterial,1073364|Parabacteroides goldsteinii CC87F,2019,liquid,methanol-water (4:1),sulfadimethoxine,impact HD|MS:1002667,electrospray ionization (positive),reverse phase (polar-C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,9/1/19,United States of America,Urban,32.876878|-117.234459,200,not applicable,MSV000084475_not applicable,not applicable,not applicable,not applicable,HM_1050,Parabacteroides goldsteinii CC87F,1073364,Bacteria,FCB group,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides goldsteinii,not applicable,gastrointestinal_tissue,unspecified,FCM,culture_bacterial
HMP_FCM_P1_D11.d,MSV000084475,HM_1120_BD11_01_45775.mzXML,culture_bacterial,culture_bacterial,1261072|Bifidobacterium breve JCP7499,2019,liquid,methanol-water (4:1),sulfadimethoxine,impact HD|MS:1002667,electrospray ionization (positive),reverse phase (polar-C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,9/1/19,United States of America,Urban,32.876878|-117.234459,200,not applicable,MSV000084475_not applicable,not applicable,not applicable,not applicable,HM_1120,Bifidobacterium breve JCP7499,1261072,Bacteria,Terrabacteria group,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium breve,not applicable,vaginal,diseased_bacterial vaginosis,FCM,culture_bacterial
HMP_FCM_P1_E8.d,MSV000084475,HM_1139_BE8_01_45788.mzXML,culture_bacterial,culture_bacterial,1321778|Clostridiales sp. F0540,2019,liquid,methanol-water (4:1),sulfadimethoxine,impact HD|MS:1002667,electrospray ionization (positive),reverse phase (polar-C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,9/1/19,United States of America,Urban,32.876878|-117.234459,200,not applicable,MSV000084475_not applicable,not applicable,not applicable,not applicable,HM_1139,Clostridiales sp. F0540,1321778,Bacteria,Terrabacteria group,Firmicutes,Clostridia,Clostridiales,unclassified Clostridiales,unclassified Clostridiales (miscellaneous),Clostridiales bacterium oral taxon 876,not applicable,oral,healthy,FCM,culture_bacterial
HMP_FCM_P1_D7.d,MSV000084475,HM_1189_BD7_01_45771.mzXML,culture_bacterial,culture_bacterial,1357382|Bifidobacterium angulatum F16_22,2019,liquid,methanol-water (4:1),sulfadimethoxine,impact HD|MS:1002667,electrospray ionization (positive),reverse phase (polar-C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,9/1/19,United States of America,Urban,32.876878|-117.234459,200,not applicable,MSV000084475_not applicable,not applicable,not applicable,not applicable,HM_1189,Bifidobacterium angulatum F16_22,1357382,Bacteria,Terrabacteria group,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium angulatum,not applicable,gastrointestinal_stool,unspecified,FCM,culture_bacterial
HMP_FCM_P1_E6.d,MSV000084475,HM_1192_BE6_01_45784.mzXML,culture_bacterial,culture_bacterial,1357384|Catabacter hongkongensis AB8_9,2019,liquid,methanol-water (4:1),sulfadimethoxine,impact HD|MS:1002667,electrospray ionization (positive),reverse phase (polar-C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,9/1/19,United States of America,Urban,32.876878|-117.234459,200,not applicable,MSV000084475_not applicable,not applicable,not applicable,not applicable,HM_1192,Catabacter hongkongensis AB8_9,1357384,Bacteria,Terrabacteria group,Firmicutes,Clostridia,Clostridiales,Catabacteriaceae,Catabacter,Catabacter hongkongensis,not applicable,gastrointestinal_stool,unspecified,FCM,culture_bacterial
HMP_FCM_P1_A5.d,MSV000084475,HM_13_BA5_01_45717.mzXML,culture_bacterial,culture_bacterial,585501|Oribacterium sinus,2019,liquid,methanol-water (4:1),sulfadimethoxine,impact HD|MS:1002667,electrospray ionization (positive),reverse phase (polar-C18),not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,9/1/19,United States of America,Urban,32.876878|-117.234459,200,not applicable,MSV000084475_not applicable,not applicable,not applicable,not applicable,HM_13,Oribacterium sinus F0268,585501,Bacteria,Terrabacteria group,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Oribacterium,Oribacterium sinus,not applicable,oral,diseased_severe periodontitis,FCM,culture_bacterial
